"name"	"taxRank"	"taxID"	"Max"	"X5089.cladeReads"	"X5090.cladeReads"	"X5091.cladeReads"	"X5092.cladeReads"	"X5093.cladeReads"	"X5094.cladeReads"	"X5101.cladeReads"	"X5102.cladeReads"	"X5103.cladeReads"	"X5104.cladeReads"	"X5105.cladeReads"	"X5106.cladeReads"	"lineage"
"Oceanotoga sp. DSM 15011"	"S"	2984951	7	7	1	NA	1	NA	2	1	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Petrotogales>Petrotogaceae>Oceanotoga>unclassified&nbsp;Oceanotoga"
"Petrotoga mobilis"	"S"	69499	3	1	3	2	2	NA	NA	NA	NA	2	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Petrotogales>Petrotogaceae>Petrotoga"
"Tepiditoga spiralis"	"S"	2108365	4	1	NA	NA	NA	4	NA	1	4	NA	NA	3	4	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Petrotogales>Petrotogaceae>Tepiditoga"
"Mesotoga prima"	"S"	1184387	8	2	NA	3	1	1	3	3	1	8	1	NA	3	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Kosmotogales>Kosmotogaceae>Mesotoga"
"Mesotoga infera"	"S"	1236046	3	1	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Kosmotogales>Kosmotogaceae>Mesotoga"
"Kosmotoga olearia"	"S"	651457	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Thermotogota>Thermotogae>Kosmotogales>Kosmotogaceae>Kosmotoga"
"Deinococcus sp. KNUC1210"	"S"	2917691	15	3	NA	4	3	1	15	NA	2	NA	NA	NA	6	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus>unclassified&nbsp;Deinococcus"
"Deinococcus sp. AJ005"	"S"	2652443	4	1	4	NA	NA	NA	NA	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus>unclassified&nbsp;Deinococcus"
"Deinococcus sp. QL22"	"S"	2939437	2	1	2	NA	NA	1	1	NA	NA	NA	1	2	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus>unclassified&nbsp;Deinococcus"
"Deinococcus peraridilitoris"	"S"	432329	4	4	NA	NA	1	1	NA	1	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus aetherius"	"S"	200252	5	4	NA	NA	NA	1	NA	1	NA	2	NA	NA	5	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus rubellus"	"S"	1889240	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus yunweiensis"	"S"	367282	2	2	NA	NA	1	NA	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus radiophilus"	"S"	32062	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus actinosclerus"	"S"	1768108	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus radiomollis"	"S"	468916	9	1	NA	2	NA	9	NA	3	1	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus irradiatisoli"	"S"	2202254	4	1	3	4	NA	NA	2	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus ficus"	"S"	317577	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus deserti"	"S"	310783	8	1	NA	NA	NA	4	8	NA	2	3	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus geothermalis"	"S"	68909	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Deinococcus radiopugnans"	"S"	57497	1	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Oceanithermus profundus"	"S"	187137	9	9	NA	6	6	NA	1	7	2	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Thermales>Thermaceae>Oceanithermus"
"Thermus brockianus"	"S"	56956	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Thermales>Thermaceae>Thermus"
"Thermus oshimai"	"S"	56957	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Thermales>Thermaceae>Thermus"
"Marinithermus hydrothermalis"	"S"	186192	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Thermales>Thermaceae>Marinithermus"
"Truepera radiovictrix"	"S"	332249	3	3	NA	NA	NA	NA	NA	2	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Thermotogati>Deinococcota>Deinococci>Trueperales>Trueperaceae>Truepera"
"Candidatus Nanosynbacter sp. HMT-352"	"S"	2899133	179	11	NA	54	144	19	22	89	179	8	7	37	35	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadia>Candidatus&nbsp;Nanosynbacterales>Candidatus&nbsp;Nanosynbacteraceae>Candidatus&nbsp;Nanosynbacter>unclassified&nbsp;Candidatus&nbsp;Nanosynbacter"
"Candidatus Nanosynbacter sp. TM7-008"	"S"	2902632	45	7	NA	10	20	2	4	21	45	4	NA	11	4	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadia>Candidatus&nbsp;Nanosynbacterales>Candidatus&nbsp;Nanosynbacteraceae>Candidatus&nbsp;Nanosynbacter>unclassified&nbsp;Candidatus&nbsp;Nanosynbacter"
"Candidatus Nanosynbacter sp. BB002"	"S"	3393757	2	1	2	2	1	1	NA	NA	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadia>Candidatus&nbsp;Nanosynbacterales>Candidatus&nbsp;Nanosynbacteraceae>Candidatus&nbsp;Nanosynbacter>unclassified&nbsp;Candidatus&nbsp;Nanosynbacter"
"Candidatus Saccharimonas aalborgensis"	"S"	1332188	19	1	2	NA	NA	NA	NA	NA	NA	19	5	NA	1	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadia>Candidatus&nbsp;Saccharimonadales>Candidatus&nbsp;Saccharimonadaceae>Candidatus&nbsp;Saccharimonas"
"Candidatus Southlakia epibionticum"	"S"	3043284	9	1	2	1	2	1	NA	4	NA	7	9	1	1	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadia>Candidatus&nbsp;Saccharimonadales>Candidatus&nbsp;Saccharimonadaceae>Candidatus&nbsp;Southlakia"
"Candidatus Minimicrobia vallesae"	"S"	2841264	30	3	NA	5	14	NA	1	10	30	1	NA	5	6	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadota&nbsp;incertae&nbsp;sedis>Candidatus&nbsp;Minimicrobia"
"Candidatus Minimicrobia sp. QA0096"	"S"	3118470	27	3	NA	3	24	3	4	16	27	4	1	5	9	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadota&nbsp;incertae&nbsp;sedis>Candidatus&nbsp;Minimicrobia>unclassified&nbsp;Candidatus&nbsp;Minimicrobia"
"Candidatus Mycosynbacter amalyticus"	"S"	2665156	13	1	NA	NA	NA	13	6	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Saccharimonadota>Candidatus&nbsp;Saccharimonadota&nbsp;incertae&nbsp;sedis>Candidatus&nbsp;Mycosynbacter"
"Candidatus Bipolaricaulis anaerobius"	"S"	2026885	4	1	1	4	1	1	NA	1	2	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Bipolaricaulota>Candidatus&nbsp;Bipolaricaulia>Candidatus&nbsp;Bipolaricaulales>Candidatus&nbsp;Bipolaricaulaceae>Candidatus&nbsp;Bipolaricaulis"
"Candidatus Absconditicoccus praedator"	"S"	2735562	6	1	1	NA	NA	1	1	6	NA	3	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Absconditibacteriota>Candidatus&nbsp;Absconditabacterales>Candidatus&nbsp;Absconditicoccaceae>Candidatus&nbsp;Absconditicoccus"
"Candidatus Fervidibacter sacchari"	"S"	1448929	2	1	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacteria&nbsp;incertae&nbsp;sedis>Bacteria&nbsp;candidate&nbsp;phyla>Candidatus&nbsp;Fervidibacterota>Candidatus&nbsp;Fervidibacter"
"Bradymonas sediminis"	"S"	1548548	2	2	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>delta/epsilon&nbsp;subdivisions>Deltaproteobacteria>Bradymonadales>Bradymonadaceae>Bradymonas"
"Homo sapiens"	"S"	9606	3469500	851572	37845	29468	266717	158508	80726	71582	3469460	28411	28280	34191	119016	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Deuterostomia>Chordata>Craniata>Vertebrata>Gnathostomata>Teleostomi>Euteleostomi>Sarcopterygii>Dipnotetrapodomorpha>Tetrapoda>Amniota>Mammalia>Theria>Eutheria>Boreoeutheria>Euarchontoglires>Primates>Haplorrhini>Simiiformes>Catarrhini>Hominoidea>Hominidae>Homininae>Homo"
"Methanobrevibacter smithii"	"S"	2173	213440	213441	159418	21	1	3	6	60386	11	7	5	5636	3	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter"
"Methanobrevibacter intestini"	"S"	2911853	1516	1516	966	1	NA	NA	NA	279	NA	3	4	1027	NA	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter"
"Methanobrevibacter sp. TLL-48-HuF1"	"S"	2870563	1373	1373	1164	NA	NA	NA	NA	502	NA	NA	NA	729	1	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter>unclassified&nbsp;Methanobrevibacter"
"Methanobrevibacter sp. YE315"	"S"	1609968	48	48	29	9	5	10	1	7	3	11	3	6	1	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter>unclassified&nbsp;Methanobrevibacter"
"Methanobrevibacter sp. DSM 116169"	"S"	3242727	34	25	34	NA	NA	4	1	8	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter>unclassified&nbsp;Methanobrevibacter"
"Methanobrevibacter sp. AbM4"	"S"	224719	8	2	NA	8	2	NA	NA	1	NA	NA	2	1	NA	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter>unclassified&nbsp;Methanobrevibacter"
"Methanobrevibacter acididurans"	"S"	120963	58	58	38	1	NA	1	NA	15	NA	NA	NA	34	4	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter"
"Methanobrevibacter millerae"	"S"	230361	48	48	42	1	NA	NA	1	11	NA	1	NA	3	NA	"cellular&nbsp;organisms>Archaea>Methanobacteriati>Methanobacteriota>Methanomada&nbsp;group>Methanobacteria>Methanobacteriales>Methanobacteriaceae>Methanobrevibacter"
