"name"	"taxRank"	"taxID"	"Max"	"X5089.cladeReads"	"X5090.cladeReads"	"X5091.cladeReads"	"X5092.cladeReads"	"X5093.cladeReads"	"X5094.cladeReads"	"X5101.cladeReads"	"X5102.cladeReads"	"X5103.cladeReads"	"X5104.cladeReads"	"X5105.cladeReads"	"X5106.cladeReads"	"lineage"
"Paracoccus sp. SJTW-4"	"S"	3078428	6	1	NA	1	1	1	1	NA	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus>unclassified&nbsp;Paracoccus&nbsp;(in:&nbsp;a&#x2011;proteobacteria)"
"Paracoccus sp. ME4"	"S"	3138066	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus>unclassified&nbsp;Paracoccus&nbsp;(in:&nbsp;a&#x2011;proteobacteria)"
"Paracoccus versutus"	"S"	34007	6	6	4	NA	NA	NA	NA	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus suum"	"S"	2259340	5	5	4	2	NA	1	1	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus seriniphilus"	"S"	184748	59	5	5	47	59	NA	NA	NA	NA	4	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus marcusii"	"S"	59779	36	3	NA	36	5	5	2	NA	NA	1	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus jeotgali"	"S"	2065379	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus denitrificans"	"S"	266	3	2	NA	3	1	NA	1	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus aerodenitrificans"	"S"	3017781	2	2	2	NA	NA	1	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus zhejiangensis"	"S"	1077935	6	2	4	6	NA	5	3	5	4	3	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus fistulariae"	"S"	658446	4	2	4	NA	NA	4	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus alcaliphilus"	"S"	34002	2	1	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus tegillarcae"	"S"	1529068	4	1	NA	4	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus liaowanqingii"	"S"	2560053	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus saliphilus"	"S"	405559	3	1	NA	2	NA	2	NA	NA	NA	NA	NA	3	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus homiensis"	"S"	364199	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Paracoccus aminophilus"	"S"	34003	2	1	1	1	NA	1	2	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paracoccus"
"Tritonibacter mobilis"	"S"	379347	45	16	NA	NA	1	45	NA	6	1	NA	NA	1	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Tritonibacter"
"Tritonibacter scottomollicae"	"S"	483013	10	1	NA	10	1	3	1	NA	NA	NA	NA	NA	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Tritonibacter"
"Yoonia sp. R78084"	"S"	3093869	6	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Yoonia>unclassified&nbsp;Yoonia"
"Yoonia algicola"	"S"	3137368	5	2	NA	1	1	1	NA	NA	5	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Yoonia"
"Yoonia vestfoldensis"	"S"	245188	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Yoonia"
"Yoonia phaeophyticola"	"S"	3137369	10	1	NA	8	10	NA	NA	1	1	NA	1	1	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Yoonia"
"Yoonia rhodophyticola"	"S"	3137370	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Yoonia"
"Frigidibacter mobilis"	"S"	1335048	12	10	NA	1	NA	12	2	NA	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Frigidibacter"
"Amylibacter sp. IMCC11727"	"S"	3039851	15	10	NA	2	NA	15	1	1	1	5	3	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Amylibacter>unclassified&nbsp;Amylibacter"
"Marivivens sp. JLT3646"	"S"	1920883	8	8	3	2	1	5	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Marivivens&nbsp;group>Marivivens>unclassified&nbsp;Marivivens"
"Marivivens sp. LCG002"	"S"	3051171	2	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Marivivens&nbsp;group>Marivivens>unclassified&nbsp;Marivivens"
"Limimaricola sp. AA108-03"	"S"	3425945	8	8	NA	1	2	NA	NA	2	NA	2	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Limimaricola>unclassified&nbsp;Limimaricola"
"Limimaricola variabilis"	"S"	1492771	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Limimaricola"
"Pseudooceanicola spongiae"	"S"	2613965	24	5	2	1	NA	12	24	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudooceanicola"
"Pseudooceanicola algae"	"S"	1537215	2	2	2	1	NA	1	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudooceanicola"
"Pseudooceanicola atlanticus"	"S"	1461694	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudooceanicola"
"Pseudopelagicola sp. nBUS_19"	"S"	3395316	18	5	18	NA	NA	7	1	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudopelagicola>unclassified&nbsp;Pseudopelagicola"
"Roseinatronobacter bogoriensis"	"S"	119542	13	3	1	2	NA	NA	NA	NA	NA	NA	NA	NA	13	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Roseinatronobacter"
"Roseinatronobacter sp. S2"	"S"	3035471	2	1	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Roseinatronobacter>unclassified&nbsp;Roseinatronobacter"
"Nioella sp."	"S"	1912091	4	4	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Nioella>unclassified&nbsp;Nioella"
"Algicella marina"	"S"	2683284	5	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Algicella"
"Vannielia sp. SX4"	"S"	3463852	3	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Vannielia>unclassified&nbsp;Vannielia"
"Tabrizicola sp."	"S"	2005166	4	1	4	1	3	1	NA	NA	NA	3	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Tabrizicola>unclassified&nbsp;Tabrizicola"
"Tabrizicola sp. M-4"	"S"	3055847	28	1	NA	28	8	1	3	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Tabrizicola>unclassified&nbsp;Tabrizicola"
"Aliiroseovarius sp. M344"	"S"	2867010	3	2	1	NA	NA	2	NA	3	2	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Aliiroseovarius>unclassified&nbsp;Aliiroseovarius"
"Profundibacter amoris"	"S"	2171755	5	2	5	NA	NA	1	NA	1	1	NA	NA	3	5	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Profundibacter"
"Planktomarina temperata"	"S"	1284658	3	2	NA	NA	NA	1	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Planktomarina"
"Haematobacter massiliensis"	"S"	195105	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Haematobacter"
"Thioclava electrotropha"	"S"	1549850	2	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Thioclava"
"Fuscovulum ytuae"	"S"	3042299	2	2	1	NA	NA	1	2	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Fuscovulum"
"Paroceanicella profunda"	"S"	2579971	3	1	NA	1	NA	3	2	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Paroceanicella"
"Rhodovulum sp. P5"	"S"	1564506	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Rhodovulum>unclassified&nbsp;Rhodovulum"
"Qingshengfaniella alkalisoli"	"S"	2599296	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Qingshengfaniella"
"Cognatishimia activa"	"S"	1715691	4	1	2	3	1	3	NA	1	1	1	1	NA	4	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Cognatishimia"
"Pikeienuella piscinae"	"S"	2748098	6	1	NA	6	4	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pikeienuella"
"Silicimonas algicola"	"S"	1826607	4	1	NA	4	1	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Silicimonas"
"Pontivivens nitratireducens"	"S"	2758038	1	1	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pontivivens"
"Cereibacter sphaeroides"	"S"	1063	1	1	1	1	NA	1	NA	NA	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Cereibacter"
"Gemmobacter fulvus"	"S"	2840474	7	1	4	2	NA	NA	NA	NA	NA	NA	NA	NA	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Gemmobacter"
"Pseudophaeobacter sp. TrK17"	"S"	2815167	2	1	NA	NA	1	NA	NA	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudophaeobacter>unclassified&nbsp;Pseudophaeobacter"
"Pseudorhodobacter turbinis"	"S"	2500533	6	1	6	NA	1	NA	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Paracoccaceae>Pseudorhodobacter"
"Sulfitobacter sp. THAF37"	"S"	2587855	30	30	NA	NA	NA	17	4	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. SK011"	"S"	1389004	6	6	1	NA	NA	1	NA	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. S223"	"S"	2867023	4	3	NA	NA	NA	4	2	NA	1	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. SK025"	"S"	1389011	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. S190"	"S"	2867022	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter sp. DSM 110093"	"S"	2883127	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter>unclassified&nbsp;Sulfitobacter"
"Sulfitobacter mediterraneus"	"S"	83219	10	10	10	1	1	NA	1	NA	NA	1	NA	4	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter"
"Sulfitobacter faviae"	"S"	1775881	3	2	3	NA	NA	1	2	1	1	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter"
"Sulfitobacter albidus"	"S"	2829501	3	2	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter"
"Sulfitobacter pontiacus"	"S"	60137	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Sulfitobacter"
"Roseobacter ponti"	"S"	1891787	15	15	7	4	NA	4	1	4	4	1	NA	2	5	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseobacter"
"Roseobacter algicola (ex Choi et al. 2025) (nom. illeg.)"	"S"	3092138	9	2	9	NA	NA	1	1	3	4	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseobacter"
"Leisingera methylohalidivorans"	"S"	133924	2	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Leisingera"
"Leisingera sp. S132"	"S"	2867016	2	1	NA	1	NA	NA	1	1	1	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Leisingera>unclassified&nbsp;Leisingera"
"Leisingera aquaemixtae"	"S"	1396826	9	1	5	9	NA	1	6	1	NA	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Leisingera"
"Shimia sp. MIT910701"	"S"	3096987	16	14	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Shimia>unclassified&nbsp;Shimia"
"Roseovarius tolerans"	"S"	74031	2	1	NA	1	NA	NA	1	NA	2	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseovarius"
"Roseovarius indicus"	"S"	540747	2	1	1	1	1	NA	1	2	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseovarius"
"Roseovarius faecimaris"	"S"	2494550	2	1	1	NA	NA	1	2	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseovarius"
"Roseovarius pelagicus"	"S"	2980108	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Roseovarius"
"Falsihalocynthiibacter arcticus"	"S"	1579316	42	9	42	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Falsihalocynthiibacter"
"Thalassovita sp."	"S"	1979401	11	5	NA	1	NA	11	2	NA	NA	1	1	1	9	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Thalassovita>unclassified&nbsp;Thalassovita"
"Thalassovita gelatinovora"	"S"	53501	2	2	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Thalassovita"
"Octadecabacter antarcticus"	"S"	1217908	4	4	NA	1	NA	NA	NA	1	NA	NA	1	2	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Octadecabacter"
"Octadecabacter temperatus"	"S"	1458307	2	2	1	NA	NA	NA	NA	NA	1	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Octadecabacter"
"Tateyamaria omphalii"	"S"	299262	6	5	2	4	NA	5	6	1	3	5	NA	2	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Tateyamaria"
"Tateyamaria sp. SN3-11"	"S"	3092147	2	1	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Tateyamaria>unclassified&nbsp;Tateyamaria"
"Ketogulonicigenium robustum"	"S"	92947	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Ketogulonicigenium"
"Ketogulonicigenium vulgare"	"S"	92945	2	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Ketogulonicigenium"
"Jannaschia sp. M317"	"S"	2867011	7	2	NA	2	NA	NA	NA	NA	NA	NA	NA	7	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Jannaschia>unclassified&nbsp;Jannaschia"
"Jannaschia ovalis"	"S"	3038773	8	1	8	1	1	6	NA	NA	1	3	NA	2	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Jannaschia"
"Antarctobacter heliothermus"	"S"	74033	7	3	4	2	1	NA	NA	2	7	2	1	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Antarctobacter"
"Ruegeria pomeroyi"	"S"	89184	1	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Ruegeria"
"Ruegeria conchae"	"S"	981384	40	1	NA	40	8	1	NA	6	10	2	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Ruegeria"
"Marinovum algicola"	"S"	42444	6	2	2	6	2	1	2	NA	NA	3	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Marinovum"
"Salipiger profundus"	"S"	1229727	2	1	2	NA	NA	1	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Salipiger"
"Salipiger sp. CCB-MM3"	"S"	1792508	4	1	1	NA	NA	NA	4	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Salipiger>unclassified&nbsp;Salipiger"
"Thalassococcus sp. S3"	"S"	2017482	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Thalassococcus>unclassified&nbsp;Thalassococcus"
"Lentibacter algarum"	"S"	576131	1	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Lentibacter"
"Celeribacter marinus"	"S"	1397108	8	1	3	3	1	NA	NA	NA	NA	NA	NA	1	8	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Celeribacter"
"Marivita sp."	"S"	2003365	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae>Marivita>unclassified&nbsp;Marivita"
