"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Flavobacterium galactosidilyticum"	"S"	2893886	8	NA	NA	8	NA	NA	NA	7	8	NA	NA	NA	NA	5.622e-05	NA	NA	5.353e-05	NA	NA	NA	5.622e-05	4.417e-05	NA	NA	NA	NA	756	NA	NA	1289.5	NA	NA	NA	845.5	756	NA	NA	NA	NA	8	NA	NA	8	NA	NA	NA	7	8	NA	NA	NA	NA	0.05622	NA	NA	0.05353	NA	NA	NA	0.05622	0.04417	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Flavobacterium limnophilum"	"S"	3003262	6	NA	NA	6	NA	NA	NA	NA	6	NA	NA	NA	NA	4.015e-05	NA	NA	4.015e-05	NA	NA	NA	NA	3.313e-05	NA	NA	NA	NA	831.5	NA	NA	1454	NA	NA	NA	NA	831.5	NA	NA	NA	NA	6	NA	NA	6	NA	NA	NA	NA	6	NA	NA	NA	NA	0.04015	NA	NA	0.04015	NA	NA	NA	NA	0.03313	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Flavobacterium cerinum"	"S"	2502784	7	NA	NA	6	7	NA	NA	NA	NA	NA	NA	NA	5	6.818e-05	NA	NA	4.015e-05	4.383e-05	NA	NA	NA	NA	NA	NA	NA	6.818e-05	1054.5	NA	NA	1454	1169.5	NA	NA	NA	NA	NA	NA	NA	1054.5	7	NA	NA	6	7	NA	NA	NA	NA	NA	NA	NA	5	0.06818	NA	NA	0.04015	0.04383	NA	NA	NA	NA	NA	NA	NA	0.06818	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Flavobacterium ammonificans"	"S"	1751056	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.346e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1554	NA	NA	1554	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03346	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Flavobacterium album"	"S"	2175091	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	5	6.818e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	NA	NA	6.818e-05	1054.5	NA	NA	1554	NA	NA	NA	NA	NA	NA	NA	NA	1054.5	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	5	0.06818	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	NA	NA	0.06818	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flavobacterium"
"Polaribacter sp. Hel1_33_78"	"S"	1336804	400	NA	NA	400	184	NA	NA	NA	NA	NA	NA	NA	NA	0.002676	NA	NA	0.002676	0.001152	NA	NA	NA	NA	NA	NA	NA	NA	218	NA	NA	218	330	NA	NA	NA	NA	NA	NA	NA	NA	400	NA	NA	400	184	NA	NA	NA	NA	NA	NA	NA	NA	2.676	NA	NA	2.676	1.152	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
"Polaribacter gangjinensis"	"S"	574710	9	NA	NA	9	8	NA	NA	NA	NA	NA	NA	NA	NA	6.022e-05	NA	NA	6.022e-05	5.01e-05	NA	NA	NA	NA	NA	NA	NA	NA	1122.5	NA	NA	1212.5	1122.5	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	9	8	NA	NA	NA	NA	NA	NA	NA	NA	0.06022	NA	NA	0.06022	0.0501	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter"
"Flagellimonas sp."	"S"	2058762	298	NA	NA	246	298	6	NA	35	31	10	NA	8	3	0.001866	NA	NA	0.001646	0.001866	3.031e-05	NA	0.0002811	0.0001712	4.752e-05	NA	7.1e-05	4.091e-05	245.5	NA	NA	245.5	261	1391	NA	441.5	447.5	691.5	NA	1086	1465	28.04	NA	NA	23.03	28.04	-0.09636	NA	2.698	2.313	0.2891	NA	0.09636	-0.3854	1.822	NA	NA	1.602	1.822	-0.0139	NA	0.2369	0.127	0.003305	NA	0.02678	-0.003305	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flagellimonas>unclassified&nbsp;Flagellimonas"
"Flagellimonas sp. HMM57"	"S"	2905121	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.346e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1554	NA	NA	1554	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03346	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Flagellimonas>unclassified&nbsp;Flagellimonas"
"Capnocytophaga sp. oral taxon 878"	"S"	1316596	76	NA	NA	76	15	NA	NA	NA	NA	NA	NA	NA	NA	0.0005085	NA	NA	0.0005085	9.393e-05	NA	NA	NA	NA	NA	NA	NA	NA	400	NA	NA	400	882.5	NA	NA	NA	NA	NA	NA	NA	NA	76	NA	NA	76	15	NA	NA	NA	NA	NA	NA	NA	NA	0.5085	NA	NA	0.5085	0.09393	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga>unclassified&nbsp;Capnocytophaga"
"Capnocytophaga gingivalis"	"S"	1017	22	NA	NA	8	NA	6	21	17	22	NA	NA	NA	1	0.0001365	NA	NA	5.353e-05	NA	3.031e-05	0.0001125	0.0001365	0.0001215	NA	NA	NA	1.364e-05	501	NA	NA	1289.5	NA	1391	655.5	589.5	501	NA	NA	NA	2935	21.5	NA	NA	7.5	NA	5.5	20.5	16.5	21.5	NA	NA	NA	0.5	0.1297	NA	NA	0.04671	NA	0.02349	0.1057	0.1297	0.1147	NA	NA	NA	0.00682	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"Capnocytophaga canis"	"S"	1848903	20	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001338	NA	NA	0.0001338	NA	NA	NA	NA	NA	NA	NA	NA	NA	803	NA	NA	803	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1338	NA	NA	0.1338	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"Capnocytophaga canimorsus"	"S"	28188	8	NA	NA	8	NA	NA	NA	NA	NA	5	NA	NA	1	5.353e-05	NA	NA	5.353e-05	NA	NA	NA	NA	NA	2.376e-05	NA	NA	1.364e-05	871	NA	NA	1289.5	NA	NA	NA	NA	NA	871	NA	NA	2935	8	NA	NA	8	NA	NA	NA	NA	NA	5	NA	NA	1	0.05353	NA	NA	0.05353	NA	NA	NA	NA	NA	0.02376	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"Christiangramia sp. LLG6405-1"	"S"	3160832	162	NA	NA	125	162	NA	8	NA	NA	NA	NA	NA	2	0.001014	NA	NA	0.0008364	0.001014	NA	4.285e-05	NA	NA	NA	NA	NA	2.727e-05	323.5	NA	NA	323.5	345.5	NA	1053	NA	NA	NA	NA	NA	1899.5	162	NA	NA	125	162	NA	8	NA	NA	NA	NA	NA	2	1.014	NA	NA	0.8364	1.014	NA	0.04285	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Christiangramia>unclassified&nbsp;Christiangramia"
"Gramella sp. MAR_2010_147"	"S"	1250205	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.015e-05	NA	NA	4.015e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1454	NA	NA	1454	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04015	NA	NA	0.04015	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Christiangramia>unclassified&nbsp;Christiangramia"
"Formosa sp. Hel1_33_131"	"S"	1336794	71	NA	NA	39	71	12	10	NA	NA	NA	NA	NA	3	0.0004446	NA	NA	0.000261	0.0004446	6.061e-05	5.357e-05	NA	NA	NA	NA	NA	4.091e-05	473	NA	NA	568	473	1058.5	968	NA	NA	NA	NA	NA	1465	71	NA	NA	39	71	12	10	NA	NA	NA	NA	NA	3	0.4446	NA	NA	0.261	0.4446	0.06061	0.05357	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Formosa>unclassified&nbsp;Formosa"
"Formosa sp. A9"	"S"	3442641	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	5	6.818e-05	NA	NA	4.015e-05	NA	NA	NA	NA	NA	NA	NA	NA	6.818e-05	1054.5	NA	NA	1454	NA	NA	NA	NA	NA	NA	NA	NA	1054.5	6	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	5	0.06818	NA	NA	0.04015	NA	NA	NA	NA	NA	NA	NA	NA	0.06818	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Formosa>unclassified&nbsp;Formosa"
"Winogradskyella ouciana"	"S"	2608631	63	NA	NA	63	43	NA	NA	NA	NA	NA	NA	NA	NA	0.0004215	NA	NA	0.0004215	0.0002693	NA	NA	NA	NA	NA	NA	NA	NA	439	NA	NA	439	587	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	63	43	NA	NA	NA	NA	NA	NA	NA	NA	0.4215	NA	NA	0.4215	0.2693	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella"
"Winogradskyella schleiferi"	"S"	2686078	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.022e-05	NA	NA	6.022e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1212.5	NA	NA	1212.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06022	NA	NA	0.06022	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella"
"Winogradskyella sp. R77965"	"S"	3093872	13	NA	NA	5	NA	NA	NA	NA	NA	NA	13	NA	NA	7.116e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	7.116e-05	NA	NA	623	NA	NA	1554	NA	NA	NA	NA	NA	NA	623	NA	NA	13	NA	NA	5	NA	NA	NA	NA	NA	NA	13	NA	NA	0.07116	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	0.07116	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella>unclassified&nbsp;Winogradskyella"
"Urechidicola croceus"	"S"	1850246	68	NA	NA	68	21	NA	NA	NA	NA	NA	NA	NA	NA	0.000455	NA	NA	0.000455	0.0001315	NA	NA	NA	NA	NA	NA	NA	NA	418.5	NA	NA	418.5	776	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	68	21	NA	NA	NA	NA	NA	NA	NA	NA	0.455	NA	NA	0.455	0.1315	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Urechidicola"
"Aggregatimonas sangjinii"	"S"	2583587	47	NA	NA	47	38	NA	NA	NA	NA	NA	NA	NA	NA	0.0003145	NA	NA	0.0003145	0.000238	NA	NA	NA	NA	NA	NA	NA	NA	515.5	NA	NA	515.5	611	NA	NA	NA	NA	NA	NA	NA	NA	47	NA	NA	47	38	NA	NA	NA	NA	NA	NA	NA	NA	0.3145	NA	NA	0.3145	0.238	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Aggregatimonas"
"Zobellia galactanivorans"	"S"	63186	33	NA	NA	24	33	NA	NA	NA	NA	NA	NA	NA	NA	0.0002067	NA	NA	0.0001606	0.0002067	NA	NA	NA	NA	NA	NA	NA	NA	644	NA	NA	739	644	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	24	33	NA	NA	NA	NA	NA	NA	NA	NA	0.2067	NA	NA	0.1606	0.2067	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Zobellia"
"Zobellia laminariae"	"S"	248906	14	NA	NA	14	NA	NA	NA	NA	7	NA	NA	NA	NA	9.367e-05	NA	NA	9.367e-05	NA	NA	NA	NA	3.865e-05	NA	NA	NA	NA	794	NA	NA	969	NA	NA	NA	NA	794	NA	NA	NA	NA	14	NA	NA	14	NA	NA	NA	NA	7	NA	NA	NA	NA	0.09367	NA	NA	0.09367	NA	NA	NA	NA	0.03865	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Zobellia"
"Kordia sp. SMS9"	"S"	2282170	37	NA	NA	32	37	NA	NA	NA	NA	NA	NA	NA	NA	0.0002317	NA	NA	0.0002141	0.0002317	NA	NA	NA	NA	NA	NA	NA	NA	618	NA	NA	635.5	618	NA	NA	NA	NA	NA	NA	NA	NA	37	NA	NA	32	37	NA	NA	NA	NA	NA	NA	NA	NA	0.2317	NA	NA	0.2141	0.2317	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Kordia>unclassified&nbsp;Kordia"
"Cellulophaga sp. L1A9"	"S"	2686362	19	NA	NA	15	19	NA	NA	NA	NA	NA	NA	NA	1	0.000119	NA	NA	0.0001004	0.000119	NA	NA	NA	NA	NA	NA	NA	1.364e-05	813.5	NA	NA	928.5	813.5	NA	NA	NA	NA	NA	NA	NA	2935	19	NA	NA	15	19	NA	NA	NA	NA	NA	NA	NA	1	0.119	NA	NA	0.1004	0.119	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Cellulophaga>unclassified&nbsp;Cellulophaga"
"Cellulophaga baltica"	"S"	76594	15	NA	NA	11	15	NA	NA	NA	NA	NA	NA	NA	NA	9.393e-05	NA	NA	7.36e-05	9.393e-05	NA	NA	NA	NA	NA	NA	NA	NA	882.5	NA	NA	1091	882.5	NA	NA	NA	NA	NA	NA	NA	NA	15	NA	NA	11	15	NA	NA	NA	NA	NA	NA	NA	NA	0.09393	NA	NA	0.0736	0.09393	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Cellulophaga"
"Oceanihabitans sp. IOP_32"	"S"	2529032	24	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	0.0001606	NA	NA	0.0001606	3.757e-05	NA	NA	NA	NA	NA	NA	NA	NA	739	NA	NA	739	1220	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	0.1606	NA	NA	0.1606	0.03757	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Oceanihabitans>unclassified&nbsp;Oceanihabitans"
"Algibacter sp. L1A34"	"S"	2686365	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	6	8.181e-05	NA	NA	6.022e-05	NA	NA	NA	NA	NA	NA	NA	NA	8.181e-05	956	NA	NA	1212.5	NA	NA	NA	NA	NA	NA	NA	NA	956	9	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	6	0.08181	NA	NA	0.06022	NA	NA	NA	NA	NA	NA	NA	NA	0.08181	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Algibacter>unclassified&nbsp;Algibacter"
"Aestuariibaculum lutulentum"	"S"	2920935	23	NA	NA	23	5	NA	NA	NA	6	NA	NA	NA	NA	0.0001539	NA	NA	0.0001539	3.131e-05	NA	NA	NA	3.313e-05	NA	NA	NA	NA	754	NA	NA	754	1271.5	NA	NA	NA	831.5	NA	NA	NA	NA	23	NA	NA	23	5	NA	NA	NA	6	NA	NA	NA	NA	0.1539	NA	NA	0.1539	0.03131	NA	NA	NA	0.03313	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Aestuariibaculum"
"Aquimarina sp. AD10"	"S"	1714849	22	NA	NA	22	16	NA	NA	NA	NA	NA	NA	NA	1	0.0001472	NA	NA	0.0001472	0.0001002	NA	NA	NA	NA	NA	NA	NA	1.364e-05	768.5	NA	NA	768.5	859.5	NA	NA	NA	NA	NA	NA	NA	2935	22	NA	NA	22	16	NA	NA	NA	NA	NA	NA	NA	1	0.1472	NA	NA	0.1472	0.1002	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Aquimarina>unclassified&nbsp;Aquimarina"
"Arenibacter antarcticus"	"S"	2040469	21	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA	0.0001405	NA	NA	0.0001405	0.000119	NA	NA	NA	NA	NA	NA	NA	NA	785	NA	NA	785	813.5	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	NA	21	19	NA	NA	NA	NA	NA	NA	NA	NA	0.1405	NA	NA	0.1405	0.119	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Arenibacter"
"Tenacibaculum maritimum"	"S"	107401	24	NA	NA	19	NA	NA	NA	24	8	NA	NA	NA	NA	0.0001928	NA	NA	0.0001271	NA	NA	NA	0.0001928	4.417e-05	NA	NA	NA	NA	514	NA	NA	826	NA	NA	NA	514	756	NA	NA	NA	NA	24	NA	NA	19	NA	NA	NA	24	8	NA	NA	NA	NA	0.1928	NA	NA	0.1271	NA	NA	NA	0.1928	0.04417	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Tenacibaculum"
"Nonlabens sp. SY33080"	"S"	2719911	14	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.367e-05	NA	NA	9.367e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	969	NA	NA	969	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09367	NA	NA	0.09367	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens>unclassified&nbsp;Nonlabens"
"Nonlabens ulvanivorans"	"S"	906888	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.346e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1554	NA	NA	1554	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03346	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Nonlabens"
"Seonamhaeicola sp. MEBiC01930"	"S"	2976768	18	NA	NA	18	17	NA	NA	NA	NA	NA	NA	NA	NA	0.0001204	NA	NA	0.0001204	0.0001065	NA	NA	NA	NA	NA	NA	NA	NA	843.5	NA	NA	849	843.5	NA	NA	NA	NA	NA	NA	NA	NA	18	NA	NA	18	17	NA	NA	NA	NA	NA	NA	NA	NA	0.1204	NA	NA	0.1204	0.1065	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Seonamhaeicola>unclassified&nbsp;Seonamhaeicola"
"Zunongwangia profunda"	"S"	398743	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.346e-05	NA	NA	3.346e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	1554	NA	NA	1554	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03346	NA	NA	0.03346	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Zunongwangia"
