"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Gordonia pseudamarae"	"S"	2831662	24	16	NA	7	NA	9	24	NA	NA	NA	6	NA	5	0.0001505	0.0001505	NA	4.684e-05	NA	4.546e-05	0.0001286	NA	NA	NA	3.284e-05	NA	6.818e-05	610.5	997	NA	1369.5	NA	1195.5	610.5	NA	NA	NA	808	NA	1054.5	5.801	3.642	NA	1.214	NA	1.754	5.801	NA	NA	NA	0.9443	NA	0.6745	0.1341	0.1341	NA	0.03042	NA	0.02904	0.1122	NA	NA	NA	0.01642	NA	0.05176	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Mycobacteriales>Gordoniaceae>Gordonia"
"Arthrobacter sp. ATA002"	"S"	2991715	52	52	52	NA	NA	20	12	NA	NA	NA	NA	NA	1	0.0005572	0.0004893	0.0005572	NA	NA	0.000101	6.428e-05	NA	NA	NA	NA	NA	1.364e-05	479.5	532	479.5	NA	NA	844	881.5	NA	NA	NA	NA	NA	2935	52	52	52	NA	NA	20	12	NA	NA	NA	NA	NA	1	0.5572	0.4893	0.5572	NA	NA	0.101	0.06428	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Arthrobacter sp. UKPF54-2"	"S"	2600159	20	13	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002143	0.0001223	0.0002143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	750.5	1097.5	750.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	13	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2143	0.1223	0.2143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Arthrobacter>unclassified&nbsp;Arthrobacter"
"Pseudarthrobacter sp. IC2-21"	"S"	3092262	29	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0002729	0.0002729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	700.5	700.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2729	0.2729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Pseudarthrobacter>unclassified&nbsp;Pseudarthrobacter"
"Paenarthrobacter sp. TA1.8"	"S"	3400219	18	18	12	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	0.0001694	0.0001694	0.0001286	NA	NA	NA	NA	NA	NA	8.079e-05	NA	NA	NA	575	941	976.5	NA	NA	NA	NA	NA	NA	575	NA	NA	NA	18	18	12	NA	NA	NA	NA	NA	NA	17	NA	NA	NA	0.1694	0.1694	0.1286	NA	NA	NA	NA	NA	NA	0.08079	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Paenarthrobacter>unclassified&nbsp;Paenarthrobacter"
"Citricoccus sp. SGAir0253"	"S"	2567881	12	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001129	0.0001129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1139.5	1139.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1129	0.1129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Citricoccus>unclassified&nbsp;Citricoccus"
"Rothia mucilaginosa"	"S"	43675	118	5	13	56	71	40	118	23	59	55	NA	9	22	0.0006321	4.705e-05	0.0001393	0.0003747	0.0004446	0.000202	0.0006321	0.0001847	0.0003258	0.0002614	NA	7.988e-05	3e-04	328.5	1623	936.5	468	473	590.5	332	521.5	328.5	373	NA	1027.5	491	2.431	-0.7448	-0.5199	0.6885	1.11	0.2389	2.431	-0.2389	0.7729	0.6604	NA	-0.6323	-0.267	0.4004	-0.1846	-0.0924	0.143	0.2129	-0.0297	0.4004	-0.047	0.0941	0.0297	NA	-0.1518	0.0683	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Micrococcaceae>Rothia"
"Plantibacter sp. RU18"	"S"	3158143	51	51	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0004799	0.0004799	9.644e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	538	538	1164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51	51	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4799	0.4799	0.09644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Plantibacter>unclassified&nbsp;Plantibacter"
"Plantibacter sp. M259"	"S"	2583822	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.586e-05	6.586e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465.5	1465.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06586	0.06586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Plantibacter>unclassified&nbsp;Plantibacter"
"Microbacterium terricola"	"S"	344163	23	23	11	NA	NA	NA	NA	NA	NA	NA	8	NA	1	0.0002164	0.0002164	0.0001179	NA	NA	NA	NA	NA	NA	NA	4.379e-05	NA	1.364e-05	732.5	809	1023.5	NA	NA	NA	NA	NA	NA	NA	732.5	NA	2935	23	23	11	NA	NA	NA	NA	NA	NA	NA	8	NA	1	0.2164	0.2164	0.1179	NA	NA	NA	NA	NA	NA	NA	0.04379	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Microbacterium"
